ncbilabel,classlabel,queryclasslabel,ingredientlabel,restriction_ex,any_taxon,fooditem
Solanum tuberosum,potato,potato protein,potato protein,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_4113,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#0potato_protein
Oryza sativa,rice plant,rice flour,rice flour,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_4530,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#19rice_flour
Oryza sativa,rice plant,rice,rice,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_4530,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#5rice
Secale cereale,rye plant,rye flour,rye flour,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_4550,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#10rye_flour
Hordeum vulgare,barley plant,barley malt,barley malt,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_4513,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#1barley_malt
Hordeum vulgare,barley plant,barley malt extract,barley malt extract,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_4513,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#11barley_malt_extract
Hordeum vulgare,barley plant,barley malt extract,barley malt extract,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_4513,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#6barley_malt_extract
Zea mays,Zia mays plant,maize kernel,corn,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_4577,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#0corn
Zea mays,Zia mays plant,maize kernel,corn,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_4577,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#5corn
Zea mays,Zia mays plant,corn flakes,cornflakes,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_4577,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#5cornflakes
Glycine max,soybean,soy protein,soy protein,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_3847,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#0soy_protein
Glycine max,soybean,soy protein,soy protein,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_3847,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#14soy_protein
Glycine max,soybean,soy protein,soy protein,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_3847,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#1soy_protein
Glycine max,soybean,soy protein,soy protein,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_3847,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#4soy_protein
Glycine max,soybean,soy protein,soy protein,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_3847,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#5soy_protein
Glycine max,soybean,soy protein,soy protein,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_3847,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#6soy_protein
Glycine max,soybean,soy protein isolate,isolated soy protein,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_3847,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#14isolated_soy_protein
Glycine max,soybean,soy protein rehydrated,rehydrated soy protein,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_3847,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#11rehydrated_soy_protein
Glycine max,soybean,soy chunks,soy chunks,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_3847,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#8soy_chunks
Glycine max,soybean,soy structure,soy structure,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_3847,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#4soy_structure
Glycine max,soybean,soy structure,soy structure,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_3847,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#5soy_structure
Glycine max,soybean,soy structure,soy structure,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_3847,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#6soy_structure
Cicer arietinum,chickpea,chickpea,chickpeas,product derived from other product,http://purl.obolibrary.org/obo/NCBITaxon_3827,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#7chickpeas
